ctry,area_code,income,employ,original_imd_score,original_imd_quintile,uk_imd_england_score,uk_imd_england_quintile,uk_imd_ni_score,uk_imd_ni_quintile,uk_imd_scotland_score,uk_imd_scotland_quintile,uk_imd_wales_score,uk_imd_wales_quintile
England,E01015089,15.3,13.9,27.1,4,27.1,4,17.6,4,26.4,4,23.2,4
England,E01015090,8.1,7.6,10.7,2,10.7,2,3.7,2,10.5,2,6.7,2
England,E01015091,9.3,10.4,17.4,3,17.4,3,9.5,3,16.9,3,13.3,3
England,E01015092,13.8,8.6,21.4,3,21.4,3,11.8,3,19.9,3,17.6,3
England,E01015093,18,16.3,31.1,4,31.1,4,21.2,4,30.5,4,27.2,4
England,E01015094,16,14.8,31.7,4,31.7,4,21.3,4,30.5,4,27.7,4
England,E01015095,16.1,14.5,29.5,4,29.5,4,19.5,4,28.6,4,25.6,4
England,E01015096,21.5,17.5,34.7,5 - most deprived,34.7,5 - most deprived,24.1,5 - most deprived,34.1,5 - most deprived,31,5 - most deprived
England,E01015097,5.2,7.6,9.5,2,9.5,2,2.9,2,9.3,2,5.3,2
England,E01015098,6.9,6.7,9.1,2,9.1,2,2.3,2,8.8,2,5.1,2
England,E01015099,6.6,5.9,12,2,12,2,4.3,2,10.9,2,7.9,2
England,E01015100,8.1,9.5,13.6,2,13.6,2,6.4,2,13.4,2,9.5,2
England,E01015101,3.9,5.6,5.6,1 - least deprived,5.6,1 - least deprived,-0.6,1 - least deprived,5.4,1 - least deprived,1.4,1 - least deprived
England,E01015102,9.3,9.8,15.2,3,15.2,3,7.7,3,14.9,3,11.2,3
England,E01015103,8.4,7.4,12,2,12,2,4.6,2,11.5,2,8,2
England,E01015104,5,6.6,7.5,1 - least deprived,7.5,1 - least deprived,1.1,1 - least deprived,7.4,1 - least deprived,3.4,1 - least deprived
England,E01015105,5.5,5.5,7.1,1 - least deprived,7.1,1 - least deprived,0.5,1 - least deprived,6.7,1 - least deprived,3,1 - least deprived
England,E01015106,11.2,9.9,16.4,3,16.4,3,8.5,3,16,3,12.4,3
England,E01015107,8.4,8.4,14.5,3,14.5,2,6.8,3,13.9,2,10.5,2
England,E01015108,5.5,5.7,9,2,9,2,2,2,8.3,2,4.9,2
England,E01015109,9.8,7.9,14.5,3,14.5,2,6.6,2,13.8,2,10.5,2
England,E01015110,4.3,4.9,7.7,1 - least deprived,7.7,1 - least deprived,0.9,1 - least deprived,7,1 - least deprived,3.6,1 - least deprived
England,E01015111,5.8,7.2,10.1,2,10.1,2,3.3,2,9.7,2,6,2
England,E01015112,9.9,9.9,13.7,2,13.7,2,6.5,2,13.7,2,9.7,2
England,E01015113,3.8,5.4,10.2,2,10.2,2,3,2,9.2,2,6,2
England,E01015114,6.4,6.3,9.1,2,9.1,2,2.2,2,8.6,2,5,2
England,E01015115,20.9,18.4,30.8,4,30.8,4,21.4,4,31.1,4,27.1,4
England,E01015116,9,10,14.6,3,14.6,2,7.3,3,14.4,3,10.5,2
England,E01015117,8.1,7.6,12.4,2,12.4,2,5,2,11.8,2,8.3,2
England,E01015118,5.2,6.5,8,1 - least deprived,8,1 - least deprived,1.4,1 - least deprived,7.7,1 - least deprived,3.8,1 - least deprived
England,E01015119,4.5,5.4,8.7,2,8.7,1 - least deprived,1.7,1 - least deprived,7.9,1 - least deprived,4.5,1 - least deprived
England,E01015120,7.6,10.1,11.9,2,11.9,2,5.3,2,12.1,2,7.7,2
England,E01015121,4.8,6.5,6.6,1 - least deprived,6.6,1 - least deprived,0.4,1 - least deprived,6.5,1 - least deprived,2.4,1 - least deprived
England,E01015122,6.8,7.3,11.4,2,11.4,2,4.2,2,10.9,2,7.3,2
England,E01015123,10.7,9.8,17.6,3,17.6,3,9.5,3,17,3,13.6,3
England,E01015124,5.9,7.2,9,2,9,2,2.4,2,8.8,2,4.8,2
England,E01015125,6.4,9.2,10.4,2,10.4,2,4,2,10.6,2,6.2,2
England,E01015126,5.2,6.2,6.4,1 - least deprived,6.4,1 - least deprived,0.2,1 - least deprived,6.3,1 - least deprived,2.3,1 - least deprived
England,E01015127,10.6,9.8,13.2,2,13.2,2,6.1,2,13.4,2,9.3,2
England,E01015128,6.5,7.2,10.1,2,10.1,2,3.2,2,9.7,2,6,2
England,E01015129,13,9.6,19.5,3,19.5,3,10.7,3,18.6,3,15.6,3
England,E01015130,3.8,4.7,6.2,1 - least deprived,6.2,1 - least deprived,-0.4,1 - least deprived,5.6,1 - least deprived,2,1 - least deprived
England,E01015131,3.7,5,5.1,1 - least deprived,5.1,1 - least deprived,-1.1,1 - least deprived,4.8,1 - least deprived,0.9,1 - least deprived
England,E01015132,11.6,11,14.9,3,14.9,3,7.6,3,15.1,3,11,3
England,E01015133,4.5,5.9,5.6,1 - least deprived,5.6,1 - least deprived,-0.5,1 - least deprived,5.5,1 - least deprived,1.5,1 - least deprived
England,E01015134,8.2,7.5,11.2,2,11.2,2,4.1,2,10.9,2,7.2,2
England,E01015135,13.4,14.6,21.1,3,21.1,3,13.3,4,21.5,3,17.1,3
England,E01015136,9.8,9.5,14.5,3,14.5,2,7,3,14.2,3,10.5,2
England,E01015137,8.6,7.6,9.7,2,9.7,2,2.9,2,9.7,2,5.7,2
England,E01015138,9.5,8.3,13.6,2,13.6,2,6.1,2,13.2,2,9.7,2
England,E01015139,13,13,19.7,3,19.7,3,11.8,3,19.8,3,15.7,3
England,E01015140,4.1,6.4,7.3,1 - least deprived,7.3,1 - least deprived,1,1 - least deprived,7,1 - least deprived,3.1,1 - least deprived
England,E01015141,4.4,6.1,7.2,1 - least deprived,7.2,1 - least deprived,0.8,1 - least deprived,6.9,1 - least deprived,3,1 - least deprived
